sen	verb	verb_idx	cop	cop_idx	child	child_idx	child_features	child_upos	head	head_idx	head_features	head_upos	distance	attractors	metadata	swap_head	feature_vals	prefix	wrong_sen	congruent_attractors	incongruent_attractors	num_attractors	num_congruent_attractors	num_incongruent_attractors	has_attractors	only_has_congruent_attractors	only_has_incongruent_attractors	sample_weight	phenomenon	lang	grammatical_feature	ungrammatical_feature	wo	inflect_item	agreement_certainty
Η έδρα της εταιρείας είναι σ το Λονδίνο , συνεπώς εμείς είμαστε αναρμόδιοι , για να ζητήσουμε πληροφορίες.	είμαστε	11			εμείς	10	{'Case': 'Nom', 'Gender': 'Masc', 'Number': 'Plur', 'Person': '1', 'PronType': 'Prs', 'lemma': 'εγώ'}	PRON	είμαστε	11	{'Mood': 'Ind', 'Number': 'Plur', 'Person': '1', 'Tense': 'Pres', 'VerbForm': 'Fin', 'Voice': 'Pass', 'lemma': 'είμαι', 'Gender': 'Masc'}	AUX	1	[]	{'sent_id': '1874', 'text': 'Η έδρα της εταιρείας είναι σ το Λονδίνο , συνεπώς εμείς είμαστε αναρμόδιοι , για να ζητήσουμε πληροφορίες.', 'treebank': 'UD_Greek-GUD/el_gud-ud-train.conllu'}	είστε	1 -> 2	Η έδρα της εταιρείας είναι σ το Λονδίνο , συνεπώς εμείς	Η έδρα της εταιρείας είναι σ το Λονδίνο , συνεπώς εμείς είστε αναρμόδιοι , για να ζητήσουμε πληροφορίες.	[]	[]	0	0	0	False	False	False	7.800211758021475e-05	SV-P	ell	1	2	SV	verb	~
« Κύριε Χαρδάκο εμείς δεν είμαστε ασφαλιστική εταιρεία , είμαστε αστυνομία » του απαντώ.	είμαστε	5			εμείς	3	{'Case': 'Nom', 'Number': 'Plur', 'Person': '1', 'PronType': 'Prs', 'lemma': 'εγώ'}	PRON	είμαστε	5	{'Aspect': 'Imp', 'Mood': 'Ind', 'Number': 'Plur', 'Person': '1', 'Tense': 'Pres', 'VerbForm': 'Fin', 'Voice': 'Pass', 'lemma': 'είμαι'}	VERB	2	[]	{'sent_id': '4375', 'text': '« Κύριε Χαρδάκο εμείς δεν είμαστε ασφαλιστική εταιρεία , είμαστε αστυνομία » του απαντώ.', 'treebank': 'UD_Greek-GUD/el_gud-ud-train.conllu'}	είστε	1 -> 2	« Κύριε Χαρδάκο εμείς δεν	« Κύριε Χαρδάκο εμείς δεν είστε ασφαλιστική εταιρεία , είμαστε αστυνομία » του απαντώ.	[]	[]	0	0	0	False	False	False	4.609216038830871e-05	SV-P	ell	1	2	SV	verb	~
« Εγώ την πήρα σ τη λαχαναγορά , όταν άκουσα για το πλοίο που έπιασε φωτιά , για να μάθω για το φίλο μου » απαντάει αμέσως ο Σαμίρ.	πήρα	3			Εγώ	1	{'Case': 'Nom', 'Number': 'Sing', 'Person': '1', 'PronType': 'Prs', 'lemma': 'εγώ'}	PRON	πήρα	3	{'Aspect': 'Perf', 'Mood': 'Ind', 'Number': 'Sing', 'Person': '1', 'Tense': 'Past', 'VerbForm': 'Fin', 'Voice': 'Act', 'lemma': 'παίρνω'}	VERB	2	[]	{'sent_id': '2982', 'text': '« Εγώ την πήρα σ τη λαχαναγορά , όταν άκουσα για το πλοίο που έπιασε φωτιά , για να μάθω για το φίλο μου » απαντάει αμέσως ο Σαμίρ.', 'treebank': 'UD_Greek-GUD/el_gud-ud-test.conllu'}	πάρεις	1 -> 2	« Εγώ την	« Εγώ την πάρεις σ τη λαχαναγορά , όταν άκουσα για το πλοίο που έπιασε φωτιά , για να μάθω για το φίλο μου » απαντάει αμέσως ο Σαμίρ.	[]	[]	0	0	0	False	False	False	4.8012667071154906e-05	SV-P	ell	1	2	SV	verb	~
« Φίλοι δεν είμαστε » του λέει σε αυστηρό ύφος , για να του κόψει τη φόρα.	είμαστε	3			Φίλοι	1	{'Case': 'Nom', 'Gender': 'Masc', 'Number': 'Plur', 'lemma': 'φίλος'}	NOUN	είμαστε	3	{'Mood': 'Ind', 'Number': 'Plur', 'Person': '1', 'Tense': 'Pres', 'VerbForm': 'Fin', 'Voice': 'Pass', 'lemma': 'είμαι', 'Gender': 'Masc'}	AUX	2	[]	{'sent_id': '2535', 'text': '« Φίλοι δεν είμαστε » του λέει σε αυστηρό ύφος , για να του κόψει τη φόρα.', 'treebank': 'UD_Greek-GUD/el_gud-ud-test.conllu'}	είστε	1 -> 2	« Φίλοι δεν	« Φίλοι δεν είστε » του λέει σε αυστηρό ύφος , για να του κόψει τη φόρα.	[]	[]	0	0	0	False	False	False	0.000460921603883	SV-P	ell	1	2	SV	verb	~
« Κύριε Χαρδάκο εμείς δεν είμαστε ασφαλιστική εταιρεία , είμαστε αστυνομία » του απαντώ.	είμαστε	5			εμείς	3	{'Case': 'Nom', 'Number': 'Plur', 'Person': '1', 'PronType': 'Prs', 'lemma': 'εγώ'}	PRON	είμαστε	5	{'Aspect': 'Imp', 'Mood': 'Ind', 'Number': 'Plur', 'Person': '1', 'Tense': 'Pres', 'VerbForm': 'Fin', 'Voice': 'Pass', 'lemma': 'είμαι'}	VERB	2	[]	{'sent_id': '4375', 'text': '« Κύριε Χαρδάκο εμείς δεν είμαστε ασφαλιστική εταιρεία , είμαστε αστυνομία » του απαντώ.', 'treebank': 'UD_Greek-GUD/el_gud-ud-train.conllu'}	είσαστε	1 -> 2	« Κύριε Χαρδάκο εμείς δεν	« Κύριε Χαρδάκο εμείς δεν είσαστε ασφαλιστική εταιρεία , είμαστε αστυνομία » του απαντώ.	[]	[]	0	0	0	False	False	False	4.609216038830871e-05	SV-P	ell	1	2	SV	verb	~
Ακόμα και σ' εμάς , που δεν είμαστε ειδικοί , φαίνεται ότι είναι πανάκριβο , από χρυσό είκοσι τεσσάρων καρατίων.	είμαστε	7			που	5	{'Case': 'Nom', 'Gender': 'Masc', 'Number': 'Plur', 'PronType': 'Rel', 'lemma': 'που'}	PRON	είμαστε	7	{'Mood': 'Ind', 'Number': 'Plur', 'Person': '1', 'Tense': 'Pres', 'VerbForm': 'Fin', 'Voice': 'Pass', 'lemma': 'είμαι', 'Gender': 'Masc'}	AUX	2	[]	"{'sent_id': '4828', 'text': ""Ακόμα και σ' εμάς , που δεν είμαστε ειδικοί , φαίνεται ότι είναι πανάκριβο , από χρυσό είκοσι τεσσάρων καρατίων."", 'treebank': 'UD_Greek-GUD/el_gud-ud-train.conllu'}"	είστε	1 -> 2	Ακόμα και σ' εμάς , που δεν	Ακόμα και σ' εμάς , που δεν είστε ειδικοί , φαίνεται ότι είναι πανάκριβο , από χρυσό είκοσι τεσσάρων καρατίων.	[]	[]	0	0	0	False	False	False	0.0002304608019415	SV-P	ell	1	2	SV	verb	~
Κάτι προσπάθησε να μου εξηγήσει για πλωτές δεξαμενές και μονάδες επισκευής πλοίων , αλλά εγώ έχω μεσάνυχτα απ ' αυτά.	έχω	15			εγώ	14	{'Case': 'Nom', 'Number': 'Sing', 'Person': '1', 'PronType': 'Prs', 'lemma': 'εγώ'}	PRON	έχω	15	{'Aspect': 'Imp', 'Mood': 'Ind', 'Number': 'Sing', 'Person': '1', 'Tense': 'Pres', 'VerbForm': 'Fin', 'Voice': 'Act', 'lemma': 'έχω'}	VERB	1	[]	"{'sent_id': '5800', 'text': ""Κάτι προσπάθησε να μου εξηγήσει για πλωτές δεξαμενές και μονάδες επισκευής πλοίων , αλλά εγώ έχω μεσάνυχτα απ ' αυτά."", 'treebank': 'UD_Greek-GUD/el_gud-ud-test.conllu'}"	έχεις	1 -> 2	Κάτι προσπάθησε να μου εξηγήσει για πλωτές δεξαμενές και μονάδες επισκευής πλοίων , αλλά εγώ	Κάτι προσπάθησε να μου εξηγήσει για πλωτές δεξαμενές και μονάδες επισκευής πλοίων , αλλά εγώ έχεις μεσάνυχτα απ ' αυτά.	[]	[]	0	0	0	False	False	False	3.0469577179771377e-05	SV-P	ell	1	2	SV	verb	~
Κάτι προσπάθησε να μου εξηγήσει για πλωτές δεξαμενές και μονάδες επισκευής πλοίων , αλλά εγώ έχω μεσάνυχτα απ ' αυτά.	έχω	15			εγώ	14	{'Case': 'Nom', 'Number': 'Sing', 'Person': '1', 'PronType': 'Prs', 'lemma': 'εγώ'}	PRON	έχω	15	{'Aspect': 'Imp', 'Mood': 'Ind', 'Number': 'Sing', 'Person': '1', 'Tense': 'Pres', 'VerbForm': 'Fin', 'Voice': 'Act', 'lemma': 'έχω'}	VERB	1	[]	"{'sent_id': '5800', 'text': ""Κάτι προσπάθησε να μου εξηγήσει για πλωτές δεξαμενές και μονάδες επισκευής πλοίων , αλλά εγώ έχω μεσάνυχτα απ ' αυτά."", 'treebank': 'UD_Greek-GUD/el_gud-ud-test.conllu'}"	'χεις	1 -> 2	Κάτι προσπάθησε να μου εξηγήσει για πλωτές δεξαμενές και μονάδες επισκευής πλοίων , αλλά εγώ	Κάτι προσπάθησε να μου εξηγήσει για πλωτές δεξαμενές και μονάδες επισκευής πλοίων , αλλά εγώ 'χεις μεσάνυχτα απ ' αυτά.	[]	[]	0	0	0	False	False	False	3.0469577179771377e-05	SV-P	ell	1	2	SV	verb	~
« Εγώ την πήρα σ τη λαχαναγορά , όταν άκουσα για το πλοίο που έπιασε φωτιά , για να μάθω για το φίλο μου » απαντάει αμέσως ο Σαμίρ.	πήρα	3			Εγώ	1	{'Case': 'Nom', 'Number': 'Sing', 'Person': '1', 'PronType': 'Prs', 'lemma': 'εγώ'}	PRON	πήρα	3	{'Aspect': 'Perf', 'Mood': 'Ind', 'Number': 'Sing', 'Person': '1', 'Tense': 'Past', 'VerbForm': 'Fin', 'Voice': 'Act', 'lemma': 'παίρνω'}	VERB	2	[]	{'sent_id': '2982', 'text': '« Εγώ την πήρα σ τη λαχαναγορά , όταν άκουσα για το πλοίο που έπιασε φωτιά , για να μάθω για το φίλο μου » απαντάει αμέσως ο Σαμίρ.', 'treebank': 'UD_Greek-GUD/el_gud-ud-test.conllu'}	πήρες	1 -> 2	« Εγώ την	« Εγώ την πήρες σ τη λαχαναγορά , όταν άκουσα για το πλοίο που έπιασε φωτιά , για να μάθω για το φίλο μου » απαντάει αμέσως ο Σαμίρ.	[]	[]	0	0	0	False	False	False	4.8012667071154906e-05	SV-P	ell	1	2	SV	verb	~
Εγώ έχω το νόμιμο και ηθικό καθήκον να εξιχνιάζω τα εγκλήματα , και όχι μόνο να συλλαμβάνω τους δολοφόνους.	έχω	1			Εγώ	0	{'Case': 'Nom', 'Number': 'Sing', 'Person': '1', 'PronType': 'Prs', 'lemma': 'εγώ'}	PRON	έχω	1	{'Aspect': 'Imp', 'Mood': 'Ind', 'Number': 'Sing', 'Person': '1', 'Tense': 'Pres', 'VerbForm': 'Fin', 'Voice': 'Act', 'lemma': 'έχω'}	VERB	1	[]	{'sent_id': '5356', 'text': 'Εγώ έχω το νόμιμο και ηθικό καθήκον να εξιχνιάζω τα εγκλήματα , και όχι μόνο να συλλαμβάνω τους δολοφόνους.', 'treebank': 'UD_Greek-GUD/el_gud-ud-train.conllu'}	'χεις	1 -> 2	Εγώ	Εγώ 'χεις το νόμιμο και ηθικό καθήκον να εξιχνιάζω τα εγκλήματα , και όχι μόνο να συλλαμβάνω τους δολοφόνους.	[]	[]	0	0	0	False	False	False	1.015652572659046e-05	SV-P	ell	1	2	SV	verb	~
« Εγώ βρήκα μόνο λεφτά , ορκίζομαι ».	βρήκα	2			Εγώ	1	{'Case': 'Nom', 'Number': 'Sing', 'Person': '1', 'PronType': 'Prs', 'lemma': 'εγώ'}	PRON	βρήκα	2	{'Aspect': 'Perf', 'Mood': 'Ind', 'Number': 'Sing', 'Person': '1', 'Tense': 'Past', 'VerbForm': 'Fin', 'Voice': 'Act', 'lemma': 'βρίσκω'}	VERB	1	[]	{'sent_id': '4751', 'text': '« Εγώ βρήκα μόνο λεφτά , ορκίζομαι ».', 'treebank': 'UD_Greek-GUD/el_gud-ud-test.conllu'}	βρήκες	1 -> 2	« Εγώ	« Εγώ βρήκες μόνο λεφτά , ορκίζομαι ».	[]	[]	0	0	0	False	False	False	4.0626102906361845e-05	SV-P	ell	1	2	SV	verb	~
Εγώ έχω το νόμιμο και ηθικό καθήκον να εξιχνιάζω τα εγκλήματα , και όχι μόνο να συλλαμβάνω τους δολοφόνους.	έχω	1			Εγώ	0	{'Case': 'Nom', 'Number': 'Sing', 'Person': '1', 'PronType': 'Prs', 'lemma': 'εγώ'}	PRON	έχω	1	{'Aspect': 'Imp', 'Mood': 'Ind', 'Number': 'Sing', 'Person': '1', 'Tense': 'Pres', 'VerbForm': 'Fin', 'Voice': 'Act', 'lemma': 'έχω'}	VERB	1	[]	{'sent_id': '5356', 'text': 'Εγώ έχω το νόμιμο και ηθικό καθήκον να εξιχνιάζω τα εγκλήματα , και όχι μόνο να συλλαμβάνω τους δολοφόνους.', 'treebank': 'UD_Greek-GUD/el_gud-ud-train.conllu'}	έχεις	1 -> 2	Εγώ	Εγώ έχεις το νόμιμο και ηθικό καθήκον να εξιχνιάζω τα εγκλήματα , και όχι μόνο να συλλαμβάνω τους δολοφόνους.	[]	[]	0	0	0	False	False	False	1.015652572659046e-05	SV-P	ell	1	2	SV	verb	~
« Εγώ δεν έχω κινητό » απαντάει ο Σαμίρ , που δουλεύει σ τη λαχαναγορά.	έχω	3			Εγώ	1	{'Case': 'Nom', 'Gender': 'Masc', 'Number': 'Sing', 'Person': '1', 'PronType': 'Prs', 'lemma': 'εγώ'}	PRON	έχω	3	{'Aspect': 'Imp', 'Mood': 'Ind', 'Number': 'Sing', 'Person': '1', 'Tense': 'Pres', 'VerbForm': 'Fin', 'Voice': 'Act', 'lemma': 'έχω', 'Gender': 'Masc'}	VERB	2	[]	{'sent_id': '2948', 'text': '« Εγώ δεν έχω κινητό » απαντάει ο Σαμίρ , που δουλεύει σ τη λαχαναγορά.', 'treebank': 'UD_Greek-GUD/el_gud-ud-test.conllu'}	έχεις	1 -> 2	« Εγώ δεν	« Εγώ δεν έχεις κινητό » απαντάει ο Σαμίρ , που δουλεύει σ τη λαχαναγορά.	[]	[]	0	0	0	False	False	False	1.2003166767788728e-05	SV-P	ell	1	2	SV	verb	~
