model,checkpoint,l1,l2,biling_cond,l1_acc,l2_acc
catherinearnett/B-GPT_en_nl_simultaneous,67000,eng,nld,simultaneous,0.961038961038961,0.8927498927498928
catherinearnett/B-GPT_en_nl_simultaneous,68000,eng,nld,simultaneous,0.9675324675324676,0.9009009009009009
catherinearnett/B-GPT_en_nl_simultaneous,69000,eng,nld,simultaneous,0.9636363636363636,0.9107679107679107
catherinearnett/B-GPT_en_nl_simultaneous,70000,eng,nld,simultaneous,0.9675324675324676,0.9129129129129129
catherinearnett/B-GPT_en_nl_simultaneous,80000,eng,nld,simultaneous,0.964935064935065,0.9472329472329473
catherinearnett/B-GPT_en_nl_simultaneous,90000,eng,nld,simultaneous,0.9675324675324676,0.9553839553839554
catherinearnett/B-GPT_en_nl_simultaneous,100000,eng,nld,simultaneous,0.964935064935065,0.954096954096954
catherinearnett/B-GPT_en_nl_simultaneous,110000,eng,nld,simultaneous,0.964935064935065,0.9596739596739596
model,checkpoint,l1,l2,biling_cond,l1_acc,l2_acc
catherinearnett/B-GPT_nl_en_simultaneous,0,nld,eng,simultaneous,0.5474045474045474,0.6623376623376623
catherinearnett/B-GPT_nl_en_simultaneous,10000,nld,eng,simultaneous,0.9433719433719434,0.6532467532467533
catherinearnett/B-GPT_nl_en_simultaneous,20000,nld,eng,simultaneous,0.9631059631059631,0.6441558441558441
catherinearnett/B-GPT_nl_en_simultaneous,30000,nld,eng,simultaneous,0.9631059631059631,0.6584415584415585
catherinearnett/B-GPT_nl_en_simultaneous,40000,nld,eng,simultaneous,0.9708279708279708,0.7025974025974026
catherinearnett/B-GPT_nl_en_simultaneous,50000,nld,eng,simultaneous,0.9703989703989704,0.6675324675324675
catherinearnett/B-GPT_nl_en_simultaneous,64000,nld,eng,simultaneous,0.9725439725439725,0.7025974025974026
catherinearnett/B-GPT_nl_en_simultaneous,64010,nld,eng,simultaneous,0.9734019734019734,0.7103896103896103
catherinearnett/B-GPT_nl_en_simultaneous,64020,nld,eng,simultaneous,0.9716859716859717,0.7181818181818181
catherinearnett/B-GPT_nl_en_simultaneous,64030,nld,eng,simultaneous,0.9712569712569713,0.7337662337662337
catherinearnett/B-GPT_nl_en_simultaneous,64040,nld,eng,simultaneous,0.9725439725439725,0.7246753246753247
catherinearnett/B-GPT_nl_en_simultaneous,64050,nld,eng,simultaneous,0.9734019734019734,0.7324675324675325
catherinearnett/B-GPT_nl_en_simultaneous,64060,nld,eng,simultaneous,0.972972972972973,0.7233766233766233
catherinearnett/B-GPT_nl_en_simultaneous,64070,nld,eng,simultaneous,0.9742599742599742,0.7402597402597403
catherinearnett/B-GPT_nl_en_simultaneous,64080,nld,eng,simultaneous,0.9746889746889746,0.7376623376623377
catherinearnett/B-GPT_nl_en_simultaneous,64090,nld,eng,simultaneous,0.9725439725439725,0.7350649350649351
catherinearnett/B-GPT_nl_en_simultaneous,64100,nld,eng,simultaneous,0.975975975975976,0.7389610389610389
catherinearnett/B-GPT_nl_en_simultaneous,64110,nld,eng,simultaneous,0.9746889746889746,0.7428571428571429
catherinearnett/B-GPT_nl_en_simultaneous,64120,nld,eng,simultaneous,0.975975975975976,0.7428571428571429
catherinearnett/B-GPT_nl_en_simultaneous,64130,nld,eng,simultaneous,0.9716859716859717,0.7467532467532467
catherinearnett/B-GPT_nl_en_simultaneous,64140,nld,eng,simultaneous,0.9746889746889746,0.7480519480519481
catherinearnett/B-GPT_nl_en_simultaneous,64150,nld,eng,simultaneous,0.9751179751179752,0.7519480519480519
catherinearnett/B-GPT_nl_en_simultaneous,64160,nld,eng,simultaneous,0.9764049764049764,0.7493506493506493
catherinearnett/B-GPT_nl_en_simultaneous,64170,nld,eng,simultaneous,0.9746889746889746,0.7597402597402597
catherinearnett/B-GPT_nl_en_simultaneous,64180,nld,eng,simultaneous,0.972972972972973,0.7597402597402597
catherinearnett/B-GPT_nl_en_simultaneous,64190,nld,eng,simultaneous,0.9742599742599742,0.7610389610389611
catherinearnett/B-GPT_nl_en_simultaneous,64200,nld,eng,simultaneous,0.9721149721149721,0.7805194805194805
catherinearnett/B-GPT_nl_en_simultaneous,64300,nld,eng,simultaneous,0.9734019734019734,0.8025974025974026
catherinearnett/B-GPT_nl_en_simultaneous,64400,nld,eng,simultaneous,0.9772629772629773,0.8025974025974026
catherinearnett/B-GPT_nl_en_simultaneous,64500,nld,eng,simultaneous,0.9751179751179752,0.8194805194805195
catherinearnett/B-GPT_nl_en_simultaneous,64600,nld,eng,simultaneous,0.9738309738309738,0.8246753246753247
catherinearnett/B-GPT_nl_en_simultaneous,64700,nld,eng,simultaneous,0.9725439725439725,0.8363636363636363
catherinearnett/B-GPT_nl_en_simultaneous,64800,nld,eng,simultaneous,0.972972972972973,0.8571428571428571
catherinearnett/B-GPT_nl_en_simultaneous,64900,nld,eng,simultaneous,0.972972972972973,0.861038961038961
catherinearnett/B-GPT_nl_en_simultaneous,65000,nld,eng,simultaneous,0.9716859716859717,0.8688311688311688
catherinearnett/B-GPT_nl_en_simultaneous,66000,nld,eng,simultaneous,0.9738309738309738,0.9025974025974026
catherinearnett/B-GPT_nl_en_simultaneous,67000,nld,eng,simultaneous,0.9686829686829687,0.9025974025974026
catherinearnett/B-GPT_nl_en_simultaneous,68000,nld,eng,simultaneous,0.9721149721149721,0.9051948051948052
catherinearnett/B-GPT_nl_en_simultaneous,69000,nld,eng,simultaneous,0.9725439725439725,0.9116883116883117
catherinearnett/B-GPT_nl_en_simultaneous,70000,nld,eng,simultaneous,0.9712569712569713,0.9181818181818182
catherinearnett/B-GPT_nl_en_simultaneous,80000,nld,eng,simultaneous,0.9708279708279708,0.9272727272727272
catherinearnett/B-GPT_nl_en_simultaneous,90000,nld,eng,simultaneous,0.9738309738309738,0.9415584415584416
catherinearnett/B-GPT_nl_en_simultaneous,100000,nld,eng,simultaneous,0.972972972972973,0.9454545454545454
catherinearnett/B-GPT_nl_en_simultaneous,110000,nld,eng,simultaneous,0.972972972972973,0.9428571428571428
catherinearnett/B-GPT_nl_en_simultaneous,120000,nld,eng,simultaneous,0.9725439725439725,0.9506493506493506
catherinearnett/B-GPT_nl_en_simultaneous,128000,nld,eng,simultaneous,0.9755469755469756,0.948051948051948
model,checkpoint,l1,l2,biling_cond,l1_acc,l2_acc
catherinearnett/B-GPT_en_nl_sequential,0,eng,nld,sequential,0.6298701298701299,0.5980265980265981
catherinearnett/B-GPT_en_nl_sequential,10000,eng,nld,sequential,0.922077922077922,0.4774774774774775
catherinearnett/B-GPT_en_nl_sequential,20000,eng,nld,sequential,0.9337662337662338,0.6087516087516087
catherinearnett/B-GPT_en_nl_sequential,30000,eng,nld,sequential,0.9597402597402598,0.6241956241956242
catherinearnett/B-GPT_en_nl_sequential,40000,eng,nld,sequential,0.9597402597402598,0.6314886314886314
catherinearnett/B-GPT_en_nl_sequential,50000,eng,nld,sequential,0.964935064935065,0.6323466323466324
catherinearnett/B-GPT_en_nl_sequential,64000,eng,nld,sequential,0.9636363636363636,0.6297726297726298
catherinearnett/B-GPT_en_nl_sequential,64010,eng,nld,sequential,0.961038961038961,0.6889746889746889
catherinearnett/B-GPT_en_nl_sequential,64020,eng,nld,sequential,0.9571428571428572,0.6885456885456885
catherinearnett/B-GPT_en_nl_sequential,64030,eng,nld,sequential,0.9558441558441558,0.7177177177177178
catherinearnett/B-GPT_en_nl_sequential,64040,eng,nld,sequential,0.9545454545454546,0.7305877305877306
catherinearnett/B-GPT_en_nl_sequential,64050,eng,nld,sequential,0.9584415584415584,0.7365937365937366
catherinearnett/B-GPT_en_nl_sequential,64060,eng,nld,sequential,0.961038961038961,0.7348777348777349
catherinearnett/B-GPT_en_nl_sequential,64070,eng,nld,sequential,0.9623376623376624,0.7365937365937366
catherinearnett/B-GPT_en_nl_sequential,64080,eng,nld,sequential,0.9584415584415584,0.743028743028743
catherinearnett/B-GPT_en_nl_sequential,64090,eng,nld,sequential,0.9623376623376624,0.7421707421707422
catherinearnett/B-GPT_en_nl_sequential,64100,eng,nld,sequential,0.9623376623376624,0.7468897468897469
catherinearnett/B-GPT_en_nl_sequential,64110,eng,nld,sequential,0.9623376623376624,0.7464607464607464
catherinearnett/B-GPT_en_nl_sequential,64120,eng,nld,sequential,0.9636363636363636,0.7498927498927499
catherinearnett/B-GPT_en_nl_sequential,64130,eng,nld,sequential,0.9584415584415584,0.7494637494637495
catherinearnett/B-GPT_en_nl_sequential,64140,eng,nld,sequential,0.961038961038961,0.758043758043758
catherinearnett/B-GPT_en_nl_sequential,64150,eng,nld,sequential,0.961038961038961,0.7601887601887601
catherinearnett/B-GPT_en_nl_sequential,64160,eng,nld,sequential,0.9597402597402598,0.7494637494637495
catherinearnett/B-GPT_en_nl_sequential,64170,eng,nld,sequential,0.961038961038961,0.7563277563277563
catherinearnett/B-GPT_en_nl_sequential,64180,eng,nld,sequential,0.9623376623376624,0.7567567567567568
catherinearnett/B-GPT_en_nl_sequential,64190,eng,nld,sequential,0.9623376623376624,0.7631917631917632
catherinearnett/B-GPT_en_nl_sequential,64200,eng,nld,sequential,0.9623376623376624,0.7636207636207636
catherinearnett/B-GPT_en_nl_sequential,64300,eng,nld,sequential,0.9623376623376624,0.7996567996567997
catherinearnett/B-GPT_en_nl_sequential,64400,eng,nld,sequential,0.9558441558441558,0.8215358215358215
catherinearnett/B-GPT_en_nl_sequential,66000,nld,eng,sequential,0.8472758472758473,0.9181818181818182
catherinearnett/B-GPT_en_nl_sequential,67000,nld,eng,sequential,0.824967824967825,0.9337662337662338
catherinearnett/B-GPT_en_nl_sequential,68000,nld,eng,sequential,0.8120978120978121,0.9324675324675324
catherinearnett/B-GPT_en_nl_sequential,69000,eng,nld,sequential,0.8792207792207792,0.9403689403689404
catherinearnett/B-GPT_en_nl_sequential,70000,eng,nld,sequential,0.8675324675324675,0.9493779493779494
catherinearnett/B-GPT_en_nl_sequential,80000,eng,nld,sequential,0.8545454545454545,0.9635349635349635
catherinearnett/B-GPT_en_nl_sequential,90000,eng,nld,sequential,0.8428571428571429,0.9678249678249679
catherinearnett/B-GPT_en_nl_sequential,100000,eng,nld,sequential,0.8519480519480519,0.9682539682539683
catherinearnett/B-GPT_en_nl_sequential,110000,eng,nld,sequential,0.8415584415584415,0.96996996996997
catherinearnett/B-GPT_en_nl_sequential,120000,eng,nld,sequential,0.8441558441558441,0.9708279708279708
catherinearnett/B-GPT_en_nl_sequential,128000,eng,nld,sequential,0.8428571428571429,0.9708279708279708
model,checkpoint,l1,l2,biling_cond,l1_acc,l2_acc
catherinearnett/B-GPT_nl_en_sequential,10000,nld,eng,sequential,0.9382239382239382,0.6779220779220779
catherinearnett/B-GPT_nl_en_sequential,20000,nld,eng,sequential,0.963963963963964,0.6714285714285714
catherinearnett/B-GPT_nl_en_sequential,30000,nld,eng,sequential,0.9721149721149721,0.6688311688311688
catherinearnett/B-GPT_nl_en_sequential,40000,nld,eng,sequential,0.9721149721149721,0.6428571428571429
catherinearnett/B-GPT_nl_en_sequential,50000,nld,eng,sequential,0.9772629772629773,0.6623376623376623
catherinearnett/B-GPT_nl_en_sequential,64000,nld,eng,sequential,0.9785499785499786,0.6753246753246753
catherinearnett/B-GPT_nl_en_sequential,64010,nld,eng,sequential,0.9776919776919777,0.6753246753246753
catherinearnett/B-GPT_nl_en_sequential,64020,nld,eng,sequential,0.9751179751179752,0.674025974025974
catherinearnett/B-GPT_nl_en_sequential,64030,nld,eng,sequential,0.972972972972973,0.6922077922077922
catherinearnett/B-GPT_nl_en_sequential,64040,nld,eng,sequential,0.9716859716859717,0.7038961038961039
catherinearnett/B-GPT_nl_en_sequential,64050,nld,eng,sequential,0.9712569712569713,0.7259740259740259
catherinearnett/B-GPT_nl_en_sequential,64060,nld,eng,sequential,0.9725439725439725,0.7389610389610389
catherinearnett/B-GPT_nl_en_sequential,64070,nld,eng,sequential,0.9695409695409696,0.7571428571428571
catherinearnett/B-GPT_nl_en_sequential,64080,nld,eng,sequential,0.9656799656799657,0.7766233766233767
catherinearnett/B-GPT_nl_en_sequential,64090,nld,eng,sequential,0.9661089661089661,0.7909090909090909
catherinearnett/B-GPT_nl_en_sequential,64100,nld,eng,sequential,0.9665379665379665,0.7857142857142857
catherinearnett/B-GPT_nl_en_sequential,64110,nld,eng,sequential,0.9635349635349635,0.8025974025974026
catherinearnett/B-GPT_nl_en_sequential,64120,nld,eng,sequential,0.9605319605319605,0.8038961038961039
catherinearnett/B-GPT_nl_en_sequential,64130,nld,eng,sequential,0.9622479622479623,0.8025974025974026
catherinearnett/B-GPT_nl_en_sequential,64140,nld,eng,sequential,0.9562419562419563,0.8103896103896104
catherinearnett/B-GPT_nl_en_sequential,64150,nld,eng,sequential,0.9575289575289575,0.8142857142857143
catherinearnett/B-GPT_nl_en_sequential,64160,nld,eng,sequential,0.9536679536679536,0.8207792207792208
catherinearnett/B-GPT_nl_en_sequential,64170,nld,eng,sequential,0.9536679536679536,0.8194805194805195
catherinearnett/B-GPT_nl_en_sequential,64180,nld,eng,sequential,0.9519519519519519,0.8363636363636363
catherinearnett/B-GPT_nl_en_sequential,64190,nld,eng,sequential,0.9528099528099528,0.8376623376623377
catherinearnett/B-GPT_nl_en_sequential,64200,nld,eng,sequential,0.9498069498069498,0.8506493506493507
catherinearnett/B-GPT_nl_en_sequential,64300,nld,eng,sequential,0.9330759330759331,0.8688311688311688
catherinearnett/B-GPT_nl_en_sequential,64400,nld,eng,sequential,0.9232089232089232,0.8818181818181818
catherinearnett/B-GPT_nl_en_sequential,64500,nld,eng,sequential,0.9116259116259117,0.8896103896103896
catherinearnett/B-GPT_nl_en_sequential,64600,nld,eng,sequential,0.9056199056199056,0.9064935064935065
catherinearnett/B-GPT_nl_en_sequential,64700,nld,eng,sequential,0.903045903045903,0.9038961038961039
catherinearnett/B-GPT_nl_en_sequential,64800,nld,eng,sequential,0.894036894036894,0.9051948051948052
catherinearnett/B-GPT_nl_en_sequential,64900,nld,eng,sequential,0.8953238953238953,0.9051948051948052
catherinearnett/B-GPT_nl_en_sequential,65000,nld,eng,sequential,0.882024882024882,0.9168831168831169
catherinearnett/B-GPT_nl_en_sequential,66000,nld,eng,sequential,0.8472758472758473,0.9181818181818182
catherinearnett/B-GPT_nl_en_sequential,67000,nld,eng,sequential,0.824967824967825,0.9337662337662338
catherinearnett/B-GPT_nl_en_sequential,68000,nld,eng,sequential,0.8120978120978121,0.9324675324675324
catherinearnett/B-GPT_nl_en_sequential,69000,nld,eng,sequential,0.8073788073788074,0.9441558441558442
catherinearnett/B-GPT_nl_en_sequential,70000,nld,eng,sequential,0.7747747747747747,0.9441558441558442
catherinearnett/B-GPT_nl_en_sequential,80000,nld,eng,sequential,0.7228657228657228,0.9545454545454546
catherinearnett/B-GPT_nl_en_sequential,90000,nld,eng,sequential,0.7408837408837409,0.961038961038961
catherinearnett/B-GPT_nl_en_sequential,100000,nld,eng,sequential,0.7408837408837409,0.9636363636363636
catherinearnett/B-GPT_nl_en_sequential,110000,nld,eng,sequential,0.7125697125697126,0.961038961038961
catherinearnett/B-GPT_nl_en_sequential,120000,nld,eng,sequential,0.7164307164307164,0.9623376623376624
catherinearnett/B-GPT_nl_en_sequential,128000,nld,eng,sequential,0.7202917202917203,0.9623376623376624
model,checkpoint,l1,l2,biling_cond,l1_acc,l2_acc
catherinearnett/B-GPT_en_es_simultaneous,0,eng,spa,simultaneous,0.6506493506493507,0.6402990948445494
catherinearnett/B-GPT_en_es_simultaneous,10000,eng,spa,simultaneous,0.9194805194805195,0.6875245966155057
catherinearnett/B-GPT_en_es_simultaneous,20000,eng,spa,simultaneous,0.948051948051948,0.6910665092483275
catherinearnett/B-GPT_en_es_simultaneous,30000,eng,spa,simultaneous,0.9558441558441558,0.6914600550964187
catherinearnett/B-GPT_en_es_simultaneous,40000,eng,spa,simultaneous,0.964935064935065,0.7001180637544274
catherinearnett/B-GPT_en_es_simultaneous,50000,eng,spa,simultaneous,0.9662337662337662,0.7020857929948839
catherinearnett/B-GPT_en_es_simultaneous,64000,eng,spa,simultaneous,0.9727272727272728,0.6993309720582448
catherinearnett/B-GPT_en_es_simultaneous,64010,eng,spa,simultaneous,0.9688311688311688,0.7237308146399055
catherinearnett/B-GPT_en_es_simultaneous,64020,eng,spa,simultaneous,0.9701298701298702,0.7351436442345534
catherinearnett/B-GPT_en_es_simultaneous,64030,eng,spa,simultaneous,0.9675324675324676,0.7331759149940968
catherinearnett/B-GPT_en_es_simultaneous,64040,eng,spa,simultaneous,0.9688311688311688,0.7378984651711924
catherinearnett/B-GPT_en_es_simultaneous,64050,eng,spa,simultaneous,0.964935064935065,0.7441951987406533
catherinearnett/B-GPT_en_es_simultaneous,64060,eng,spa,simultaneous,0.9688311688311688,0.7430145611963794
catherinearnett/B-GPT_en_es_simultaneous,64070,eng,spa,simultaneous,0.9688311688311688,0.7504919323101141
catherinearnett/B-GPT_en_es_simultaneous,64080,eng,spa,simultaneous,0.9701298701298702,0.7540338449429359
catherinearnett/B-GPT_en_es_simultaneous,64090,eng,spa,simultaneous,0.964935064935065,0.7560015741833923
catherinearnett/B-GPT_en_es_simultaneous,64100,eng,spa,simultaneous,0.9688311688311688,0.7548209366391184
catherinearnett/B-GPT_en_es_simultaneous,64110,eng,spa,simultaneous,0.9675324675324676,0.7595434868162141
catherinearnett/B-GPT_en_es_simultaneous,64120,eng,spa,simultaneous,0.9701298701298702,0.7544273907910272
catherinearnett/B-GPT_en_es_simultaneous,64130,eng,spa,simultaneous,0.9688311688311688,0.7662337662337663
catherinearnett/B-GPT_en_es_simultaneous,64140,eng,spa,simultaneous,0.9688311688311688,0.7615112160566706
catherinearnett/B-GPT_en_es_simultaneous,64150,eng,spa,simultaneous,0.964935064935065,0.7650531286894924
catherinearnett/B-GPT_en_es_simultaneous,64160,eng,spa,simultaneous,0.9636363636363636,0.7662337662337663
catherinearnett/B-GPT_en_es_simultaneous,64170,eng,spa,simultaneous,0.9688311688311688,0.7666273120818575
catherinearnett/B-GPT_en_es_simultaneous,64180,eng,spa,simultaneous,0.9636363636363636,0.7682014954742228
catherinearnett/B-GPT_en_es_simultaneous,64190,eng,spa,simultaneous,0.961038961038961,0.7729240456513183
catherinearnett/B-GPT_en_es_simultaneous,64200,eng,spa,simultaneous,0.964935064935065,0.7760724124360489
catherinearnett/B-GPT_en_es_simultaneous,64300,eng,spa,simultaneous,0.964935064935065,0.8012593467138922
catherinearnett/B-GPT_en_es_simultaneous,64400,eng,spa,simultaneous,0.964935064935065,0.8004722550177096
catherinearnett/B-GPT_en_es_simultaneous,64500,eng,spa,simultaneous,0.9623376623376624,0.8107044470680834
catherinearnett/B-GPT_en_es_simultaneous,64600,eng,spa,simultaneous,0.9636363636363636,0.8146399055489965
catherinearnett/B-GPT_en_es_simultaneous,64700,eng,spa,simultaneous,0.9675324675324676,0.8213301849665486
catherinearnett/B-GPT_en_es_simultaneous,64800,eng,spa,simultaneous,0.9675324675324676,0.8276269185360094
catherinearnett/B-GPT_en_es_simultaneous,64900,eng,spa,simultaneous,0.9675324675324676,0.8288075560802833
catherinearnett/B-GPT_en_es_simultaneous,65000,eng,spa,simultaneous,0.9636363636363636,0.8276269185360094
catherinearnett/B-GPT_en_es_simultaneous,66000,eng,spa,simultaneous,0.9662337662337662,0.855568673750492
catherinearnett/B-GPT_en_es_simultaneous,67000,eng,spa,simultaneous,0.9701298701298702,0.8630460448642266
catherinearnett/B-GPT_en_es_simultaneous,68000,eng,spa,simultaneous,0.9714285714285714,0.8744588744588745
catherinearnett/B-GPT_en_es_simultaneous,69000,eng,spa,simultaneous,0.9597402597402598,0.8787878787878788
catherinearnett/B-GPT_en_es_simultaneous,70000,eng,spa,simultaneous,0.9662337662337662,0.8862652499016135
catherinearnett/B-GPT_en_es_simultaneous,80000,eng,spa,simultaneous,0.964935064935065,0.9201101928374655
catherinearnett/B-GPT_en_es_simultaneous,90000,eng,spa,simultaneous,0.9714285714285714,0.9275875639512003
catherinearnett/B-GPT_en_es_simultaneous,100000,eng,spa,simultaneous,0.9701298701298702,0.9354584809130264
catherinearnett/B-GPT_en_es_simultaneous,110000,eng,spa,simultaneous,0.9714285714285714,0.9342778433687524
catherinearnett/B-GPT_en_es_simultaneous,120000,eng,spa,simultaneous,0.9701298701298702,0.9397874852420307
catherinearnett/B-GPT_en_es_simultaneous,128000,eng,spa,simultaneous,0.9701298701298702,0.9366391184573003
model,checkpoint,l1,l2,biling_cond,l1_acc,l2_acc
catherinearnett/B-GPT_es_en_simultaneous,0,spa,eng,simultaneous,0.6725698543880362,0.6818181818181818
catherinearnett/B-GPT_es_en_simultaneous,10000,spa,eng,simultaneous,0.9149940968122786,0.7090909090909091
catherinearnett/B-GPT_es_en_simultaneous,20000,spa,eng,simultaneous,0.9445100354191264,0.6792207792207792
catherinearnett/B-GPT_es_en_simultaneous,30000,spa,eng,simultaneous,0.9543486816214088,0.6948051948051948
catherinearnett/B-GPT_es_en_simultaneous,40000,spa,eng,simultaneous,0.9543486816214088,0.6766233766233766
catherinearnett/B-GPT_es_en_simultaneous,50000,spa,eng,simultaneous,0.9555293191656828,0.6779220779220779
catherinearnett/B-GPT_es_en_simultaneous,64000,spa,eng,simultaneous,0.9527744982290437,0.6792207792207792
catherinearnett/B-GPT_es_en_simultaneous,64010,spa,eng,simultaneous,0.9559228650137741,0.6415584415584416
catherinearnett/B-GPT_es_en_simultaneous,64020,spa,eng,simultaneous,0.9582841401023219,0.6441558441558441
catherinearnett/B-GPT_es_en_simultaneous,64030,spa,eng,simultaneous,0.9563164108618654,0.6376623376623377
catherinearnett/B-GPT_es_en_simultaneous,64040,spa,eng,simultaneous,0.9551357733175915,0.6506493506493507
catherinearnett/B-GPT_es_en_simultaneous,64050,spa,eng,simultaneous,0.9567099567099567,0.6779220779220779
catherinearnett/B-GPT_es_en_simultaneous,64060,spa,eng,simultaneous,0.9551357733175915,0.6714285714285714
catherinearnett/B-GPT_es_en_simultaneous,64070,spa,eng,simultaneous,0.9551357733175915,0.6922077922077922
catherinearnett/B-GPT_es_en_simultaneous,64080,spa,eng,simultaneous,0.9543486816214088,0.6701298701298701
catherinearnett/B-GPT_es_en_simultaneous,64090,spa,eng,simultaneous,0.9555293191656828,0.6753246753246753
catherinearnett/B-GPT_es_en_simultaneous,64100,spa,eng,simultaneous,0.9551357733175915,0.6831168831168831
catherinearnett/B-GPT_es_en_simultaneous,64110,spa,eng,simultaneous,0.9555293191656828,0.6753246753246753
catherinearnett/B-GPT_es_en_simultaneous,64120,spa,eng,simultaneous,0.9559228650137741,0.6857142857142857
catherinearnett/B-GPT_es_en_simultaneous,64130,spa,eng,simultaneous,0.9523809523809523,0.6779220779220779
catherinearnett/B-GPT_es_en_simultaneous,64140,spa,eng,simultaneous,0.9535615899252263,0.687012987012987
catherinearnett/B-GPT_es_en_simultaneous,64150,spa,eng,simultaneous,0.9559228650137741,0.6818181818181818
catherinearnett/B-GPT_es_en_simultaneous,64160,spa,eng,simultaneous,0.9555293191656828,0.6974025974025974
catherinearnett/B-GPT_es_en_simultaneous,64170,spa,eng,simultaneous,0.9547422274695002,0.6883116883116883
catherinearnett/B-GPT_es_en_simultaneous,64180,spa,eng,simultaneous,0.953168044077135,0.7038961038961039
catherinearnett/B-GPT_es_en_simultaneous,64190,spa,eng,simultaneous,0.9527744982290437,0.7064935064935065
catherinearnett/B-GPT_es_en_simultaneous,64200,spa,eng,simultaneous,0.953168044077135,0.7077922077922078
catherinearnett/B-GPT_es_en_simultaneous,64300,spa,eng,simultaneous,0.9555293191656828,0.7376623376623377
catherinearnett/B-GPT_es_en_simultaneous,64400,spa,eng,simultaneous,0.9535615899252263,0.7363636363636363
